Precaution: Drug Reaction, stop irritation, consult nearest hospital, stop taking drug, follow up
Precaution: Malaria, Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out
Precaution: Allergy, apply calamine, cover area with bandage, use ice to compress itching
Precaution: Hypothyroidism, reduce stress, exercise, eat healthy, get proper sleep
Precaution: Psoriasis, wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths
Precaution: GERD, avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise
Precaution: Chronic cholestasis, cold baths, anti itch medicine, consult doctor, eat healthy
Precaution: hepatitis A, Consult nearest hospital, wash hands through, avoid fatty spicy food, medication
Precaution: Osteoarthristis, acetaminophen, consult nearest hospital, follow up, salt baths
Precaution: (vertigo) Paroymsal  Positional Vertigo, lie down, avoid sudden change in body, avoid abrupt head movment, relax
Precaution: Hypoglycemia, lie down on side, check in pulse, drink sugary drinks, consult doctor
Precaution: Acne, bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products
Precaution: Diabetes , have balanced diet, exercise, consult doctor, follow up
Precaution: Impetigo, soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor
Precaution: Hypertension , meditation, salt baths, reduce stress, get proper sleep
Precaution: Peptic ulcer diseae, avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol
Precaution: Dimorphic hemmorhoids(piles), avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice
Precaution: Common Cold, drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check
Precaution: Chicken pox, use neem in bathing , consume neem leaves, take vaccine, avoid public places
Precaution: Cervical spondylosis, use heating pad or cold pack, exercise, take otc pain reliver, consult doctor
Precaution: Hyperthyroidism, eat healthy, massage, use lemon balm, take radioactive iodine treatment
Precaution: Urinary tract infection, drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics
Precaution: Varicose veins, lie down flat and raise the leg high, use oinments, use vein compression, dont stand still for long
Precaution: AIDS, avoid open cuts, wear ppe if possible, consult doctor, follow up
Precaution: Paralysis (brain hemorrhage), massage, eat healthy, exercise, consult doctor
Precaution: Typhoid, eat high calorie vegitables, antiboitic therapy, consult doctor, medication
Precaution: Hepatitis B, consult nearest hospital, vaccination, eat healthy, medication
Precaution: Fungal infection, bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths
Precaution: Hepatitis C, Consult nearest hospital, vaccination, eat healthy, medication
Precaution: Migraine, meditation, reduce stress, use poloroid glasses in sun, consult doctor
Precaution: Bronchial Asthma, switch to loose cloothing, take deep breaths, get away from trigger, seek help
Precaution: Alcoholic hepatitis, stop alcohol consumption, consult doctor, medication, follow up
Precaution: Jaundice, drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication
Precaution: Hepatitis E, stop alcohol consumption, rest, consult doctor, medication
Precaution: Dengue, drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated
Precaution: Hepatitis D, consult doctor, medication, eat healthy, follow up
Precaution: Heart attack, call ambulance, chew or swallow asprin, keep calm
Precaution: Pneumonia, consult doctor, medication, rest, follow up
Precaution: Arthritis, exercise, use hot and cold therapy, try acupuncture, massage
Precaution: Gastroenteritis, stop eating solid food for while, try taking small sips of water, rest, ease back into eating
Precaution: Tuberculosis, cover mouth, consult doctor, medication, rest
